Rank,Team,W,L,AdjOffEff,AdjDefEff,Total,Date
179,Howard,19,10,105.93,106.09,-0.16,3/16/2026
180,Maryland,12,21,109.49,109.7,-0.21,3/16/2026
181,Charlotte,16,17,113.27,113.6,-0.33,3/16/2026
182,Buffalo,15,15,113.68,114.05,-0.37,3/16/2026
183,South Alabama,19,11,108.52,108.96,-0.44,3/16/2026
184,Merrimack,23,11,107.19,107.78,-0.59,3/16/2026
185,Queens University,20,13,116.51,117.14,-0.63,3/16/2026
186,App State,17,13,106.88,107.62,-0.74,3/16/2026
187,Georgia Tech,11,20,106.9,107.65,-0.76,3/16/2026
188,Lipscomb,17,13,108.22,109.07,-0.84,3/16/2026
189,New Mexico State,13,16,109.71,110.65,-0.93,3/16/2026
190,Cal State Fullerton,16,16,108.95,109.91,-0.96,3/16/2026
191,Florida International,12,17,108.79,109.91,-1.12,3/16/2026
192,Texas A&M-Corpus Christi,14,15,104.91,106.04,-1.13,3/16/2026
193,UC Davis,17,14,107.84,108.98,-1.13,3/16/2026
194,Loyola Marymount,14,17,105.92,107.09,-1.17,3/16/2026
195,Long Island University,24,10,107.36,108.69,-1.33,3/16/2026
196,Utah Tech,16,15,110.69,112.11,-1.42,3/16/2026
197,Weber State,14,16,111.9,113.35,-1.45,3/16/2026
198,South Dakota State,11,18,109.56,111.08,-1.52,3/16/2026
199,Oregon State,17,16,109.32,110.89,-1.58,3/16/2026
200,Drake,12,20,110.84,112.53,-1.69,3/16/2026
201,UT Martin,19,11,102.93,104.65,-1.72,3/16/2026
202,Massachusetts,16,16,109.17,110.98,-1.82,3/16/2026
203,Campbell,14,18,111.12,112.97,-1.85,3/16/2026
204,Montana,15,15,107.25,109.15,-1.9,3/16/2026
205,Cal State Northridge,18,14,108.44,110.38,-1.93,3/16/2026
206,Eastern Washington,13,19,112.28,114.34,-2.06,3/16/2026
207,Missouri State,13,18,109.79,111.97,-2.18,3/16/2026
208,Samford,16,14,110.2,112.56,-2.36,3/16/2026
209,Youngstown State,12,17,106.8,109.55,-2.75,3/16/2026
210,James Madison,17,15,110.35,113.13,-2.78,3/16/2026
211,Indiana State,9,21,106.39,109.21,-2.82,3/16/2026
212,Drexel,16,16,104,106.97,-2.96,3/16/2026
213,Jacksonville State,12,17,106.09,109.11,-3.02,3/16/2026
214,Quinnipiac,18,13,105.28,108.34,-3.06,3/16/2026
215,Vermont,20,12,108.38,111.71,-3.33,3/16/2026
216,Elon,12,18,111.65,115,-3.35,3/16/2026
217,Colgate,16,15,109.78,113.17,-3.39,3/16/2026
218,Southern Miss,17,16,106.09,109.66,-3.57,3/16/2026
219,Southeast Missouri State,17,13,104.7,108.39,-3.69,3/16/2026
220,Green Bay,16,15,112.34,116.11,-3.77,3/16/2026
221,Western Carolina,13,16,110.16,113.94,-3.78,3/16/2026
222,Louisiana Tech,17,14,103.35,107.17,-3.82,3/16/2026
223,New Orleans,15,18,109.03,112.9,-3.86,3/16/2026
224,Georgia Southern,19,16,111.2,115.08,-3.88,3/16/2026
225,Charleston Southern,12,17,106.88,111,-4.12,3/16/2026
226,Detroit Mercy,15,15,108.51,112.78,-4.26,3/16/2026
227,Tulane,17,15,107.63,111.96,-4.34,3/16/2026
228,UNC Asheville,12,17,106.04,110.38,-4.35,3/16/2026
229,Idaho State,10,20,110.96,115.47,-4.52,3/16/2026
230,Eastern Michigan,9,21,103.43,108.04,-4.62,3/16/2026
231,Iona,18,14,105.33,110.25,-4.93,3/16/2026
232,Saint Peter's,16,12,104.99,110.03,-5.05,3/16/2026
233,Princeton,8,20,106.04,111.12,-5.08,3/16/2026
234,Radford,13,16,107.9,113.07,-5.16,3/16/2026
235,Florida Gulf Coast,14,18,107.47,112.65,-5.17,3/16/2026
236,Ohio,13,17,108.46,113.65,-5.19,3/16/2026
237,Fairfield,20,13,107.5,112.7,-5.19,3/16/2026
238,Cal Poly,12,19,108.56,113.77,-5.21,3/16/2026
239,Denver,12,17,115.55,120.78,-5.23,3/16/2026
240,Wofford,17,13,110.12,115.35,-5.23,3/16/2026
241,Coastal Carolina,18,13,102.76,108.21,-5.45,3/16/2026
242,Stony Brook,15,15,105.5,110.99,-5.48,3/16/2026
243,Lamar,10,19,104.38,109.88,-5.5,3/16/2026
244,Tarleton State,10,18,104.49,110.04,-5.55,3/16/2026
245,American University,14,16,106.78,112.47,-5.69,3/16/2026
246,Texas State,17,13,104.8,110.59,-5.79,3/16/2026
247,Longwood,13,16,105.52,111.38,-5.86,3/16/2026
248,Boston University,16,17,112.5,118.37,-5.87,3/16/2026
249,Presbyterian,12,18,104.92,110.93,-6.01,3/16/2026
250,SIU Edwardsville,16,13,101.07,107.1,-6.03,3/16/2026
251,Portland,13,19,104.89,111.03,-6.13,3/16/2026
252,Old Dominion,11,21,106.73,113.05,-6.32,3/16/2026
253,Milwaukee,11,20,107.93,114.29,-6.36,3/16/2026
254,San Diego,10,21,107.42,113.79,-6.37,3/16/2026
255,Lindenwood,15,15,102.27,108.71,-6.44,3/16/2026
256,Rice,11,18,107.84,114.37,-6.52,3/16/2026
257,Nicholls,13,19,105.86,112.46,-6.6,3/16/2026
258,La Salle,8,23,105.07,111.71,-6.64,3/16/2026
259,Dartmouth,9,16,106.26,112.99,-6.73,3/16/2026
260,Omaha,12,17,106.73,113.54,-6.82,3/16/2026
261,Abilene Christian,11,19,101.6,108.79,-7.19,3/16/2026
262,San José State,8,24,110.54,117.81,-7.27,3/16/2026
263,Long Beach State,8,22,104.81,112.11,-7.3,3/16/2026
264,Purdue Fort Wayne,14,15,105.96,113.46,-7.5,3/16/2026
265,Morehead State,17,13,108.21,115.72,-7.51,3/16/2026
266,Bethune-Cookman,16,15,103.99,111.66,-7.67,3/16/2026
267,Hampton,11,19,103.7,111.55,-7.85,3/16/2026
268,Mercyhurst,15,17,102.77,110.63,-7.86,3/16/2026
269,Sacramento State,7,21,106.13,113.99,-7.86,3/16/2026
270,East Carolina,10,20,103.64,111.51,-7.87,3/16/2026
271,North Carolina A&T,9,19,106.85,114.8,-7.95,3/16/2026
272,Lehigh,16,16,103.7,112.22,-8.52,3/16/2026
273,UTEP,8,20,102.13,110.75,-8.62,3/16/2026
274,Central Michigan,8,21,106.14,114.96,-8.82,3/16/2026
275,Le Moyne,14,17,103.82,112.76,-8.94,3/16/2026
276,Incarnate Word,9,19,108.35,117.34,-8.99,3/16/2026
277,Northeastern,7,24,108.06,117.08,-9.02,3/16/2026
278,Chattanooga,10,19,107.36,116.49,-9.13,3/16/2026
279,North Dakota,15,17,106.46,115.62,-9.16,3/16/2026
280,Southern Utah,7,22,105.44,114.72,-9.27,3/16/2026
281,Bellarmine,11,19,115.48,124.75,-9.27,3/16/2026
282,Mount St. Mary's,14,17,100.42,109.71,-9.29,3/16/2026
283,Southern,14,17,105.46,114.78,-9.31,3/16/2026
284,UC Riverside,8,22,103.46,112.78,-9.32,3/16/2026
285,Central Connecticut,16,12,106.22,115.85,-9.62,3/16/2026
